iteration [];theta [Â°];theta [rad];Couple [Nm];omega [rad/s]
1;0.000000;0.000000;-0.027799;1.000000
2;0.206842;0.003610;0.000299;0.722015
3;0.414540;0.007235;0.000967;0.725002
4;0.625006;0.010908;0.001519;0.734667
5;0.839825;0.014658;0.002016;0.749860
6;1.060420;0.018508;0.002465;0.770019
7;1.288075;0.022481;0.002927;0.794669
8;1.524116;0.026601;0.003483;0.823936
9;1.770133;0.030895;0.004100;0.858762
10;2.027896;0.035393;0.007958;0.899762
11;2.308455;0.040290;0.021499;0.979338
12;2.650606;0.046262;0.025970;1.194331
13;3.067156;0.053532;0.029347;1.454033
14;3.567780;0.062270;0.035892;1.747508
15;4.171229;0.072802;0.045432;2.106433
16;4.904831;0.085605;0.054465;2.560754
17;5.794463;0.101132;0.052071;3.105403
18;6.833267;0.119263;0.037595;3.626112
19;7.979775;0.139273;0.048598;4.002066
20;9.265506;0.161714;0.048505;4.488049
21;10.690196;0.186579;0.048559;4.973104
22;12.253996;0.213873;0.036064;5.458691
23;13.921111;0.242969;0.036834;5.819329
24;15.693747;0.273908;0.032549;6.187670
25;17.559629;0.306473;0.027898;6.513155
26;19.505433;0.340434;0.028018;6.792139
27;21.531503;0.375796;0.030205;7.072319
28;23.644104;0.412667;0.033035;7.374367
29;25.851343;0.451191;0.041403;7.704717
30;28.177192;0.491785;0.061242;8.118744
31;30.678486;0.535441;0.001661;8.731164
32;33.184538;0.579179;0.031026;8.747772
33;35.779474;0.624470;0.052270;9.058037
34;38.524154;0.672373;0.046622;9.580741
35;41.402396;0.722608;0.044116;10.046958
36;44.407021;0.775049;0.035938;10.488120
37;47.514600;0.829286;0.027973;10.847499
38;50.702318;0.884922;0.027925;11.127234
39;53.970034;0.941955;0.041126;11.406481
40;57.355568;1.001044;0.057689;11.817741
41;60.906369;1.063017;0.002159;12.394632
42;64.463353;1.125098;0.049781;12.416217
43;68.162949;1.189668;0.047124;12.914027
44;71.997547;1.256594;0.038294;13.385272
45;75.941848;1.325435;0.031768;13.768209
46;79.977158;1.395865;0.027872;14.085889
47;84.092314;1.467688;0.041871;14.364605
48;88.327421;1.541604;0.062463;14.783312
49;92.741472;1.618644;0.027229;15.407944
50;97.233528;1.697045;0.033303;15.680233
51;101.820990;1.777112;0.039982;16.013263
52;106.522990;1.859177;0.029972;16.413078
53;111.310853;1.942741;0.028914;16.712795
54;116.181549;2.027751;0.042819;17.001936
55;121.174913;2.114901;0.002684;17.430126
56;126.175966;2.202186;0.047243;17.456971
57;131.312361;2.291833;0.044848;17.929400
58;136.577235;2.383722;0.029816;18.377876
59;141.927526;2.477103;0.030059;18.676040
60;147.363931;2.571986;0.057522;18.976631
61;152.965122;2.669745;0.029563;19.551847
62;158.651006;2.768982;0.046856;19.847478
63;164.471122;2.870563;0.035763;20.316039
64;170.393691;2.973931;0.027861;20.673667
65;176.396076;3.078692;0.044824;20.952274
66;182.526871;3.185695;0.025150;21.400513
67;188.729715;3.293955;0.047054;21.652009
68;195.067357;3.404568;0.034348;22.122545
69;201.503399;3.516898;0.030166;22.466026
70;208.025861;3.630736;0.060168;22.767684
71;214.720691;3.747583;0.052874;23.369368
72;221.566995;3.867074;0.042483;23.898107
73;228.535002;3.988688;0.034999;24.322934
74;235.603275;4.112053;0.040300;24.672926
75;242.786998;4.237433;0.027882;25.075927
76;250.050599;4.364206;0.049750;25.354751
77;257.456723;4.493467;0.027982;25.852247
78;264.943009;4.624128;0.037847;26.132068
79;272.537718;4.756681;0.025305;26.510537
80;280.204921;4.890498;0.049685;26.763588
81;288.014461;5.026801;0.027906;27.260434
82;295.903945;5.164498;0.041603;27.539494
83;303.912613;5.304276;0.041314;27.955526
84;312.039636;5.446119;0.037950;28.368661
85;320.275377;5.589860;0.027951;28.748162
86;328.591192;5.734998;0.064833;29.027670
87;337.092740;5.883378;0.034808;29.675999
88;345.694005;6.033499;0.032537;30.024081
89;354.388482;6.185246;0.040643;30.349450
90;3.199394;0.055840;0.031225;30.755883
91;12.099758;0.211181;0.037389;31.068133
92;21.107235;0.368391;0.028554;31.442025
93;30.196514;0.527029;0.000274;31.727569
94;39.286578;0.685680;0.048587;31.730312
95;48.515834;0.846761;0.034943;32.216180
96;57.845194;1.009589;0.059787;32.565610
97;67.345830;1.175406;0.033110;33.163475
98;76.941320;1.342879;0.029200;33.494579
99;86.620460;1.511812;0.046257;33.786575
100;96.432117;1.683058;0.043399;34.249143
101;106.368103;1.856474;0.030739;34.683132
102;116.392149;2.031426;0.044824;34.990522
103;126.544606;2.208620;0.041730;35.438761
104;136.816610;2.387900;0.029542;35.856057
105;147.173245;2.568658;0.056564;36.151476
106;157.691923;2.752243;0.036497;36.717114
107;168.315158;2.937654;0.029527;37.082085
108;179.022982;3.124540;0.068436;37.377358
109;189.926861;3.314849;0.049815;38.061719
110;200.973451;3.507648;0.028470;38.559871
111;212.101599;3.701871;0.008241;38.844567
112;223.253358;3.896506;0.037080;38.926979
113;234.511342;4.092995;0.042179;39.297780
114;245.890160;4.291593;0.051081;39.719568
115;257.415315;4.492745;0.028033;40.230379
116;269.020778;4.695298;0.068428;40.510708
117;280.822273;4.901273;0.047754;41.194989
118;292.760571;5.109636;0.029269;41.672524
119;304.782720;5.319462;0.053447;41.965215
120;316.957982;5.531960;0.029203;42.499681
121;329.216903;5.745919;0.070212;42.791708
122;341.676967;5.963388;0.041360;43.493828
123;354.255518;6.182925;0.039377;43.907424
124;6.946876;0.121246;0.036269;44.301196
125;19.742135;0.344565;0.027995;44.663883
126;32.617596;0.569284;0.026490;44.943835
127;45.568946;0.795328;0.033054;45.208740
128;58.614988;1.023025;0.065035;45.539279
129;71.847342;1.253973;0.039707;46.189627
130;85.193448;1.486906;0.038669;46.586701
131;98.650333;1.721773;0.046872;46.973388
132;112.241495;1.958984;0.030864;47.442107
133;125.921076;2.197737;0.050724;47.750744
134;139.745971;2.439027;0.028019;48.257987
135;153.651135;2.681718;0.037178;48.538180
136;167.662807;2.926268;0.027805;48.909961
137;181.754133;3.172208;0.004064;49.188009
138;195.857104;3.418351;0.031963;49.228653
139;210.051640;3.666093;-0.000286;49.548279
140;224.245357;3.913820;0.036276;49.545419
141;238.542998;4.163361;0.064408;49.908182
142;253.025155;4.416122;0.036306;50.552263
143;267.611321;4.670699;0.058593;50.915325
144;282.365343;4.928205;0.035238;51.501254
145;297.220314;5.187473;0.056743;51.853630
146;312.237840;5.449578;0.036217;52.421055
147;327.359121;5.713495;0.057490;52.783228
148;342.645100;5.980285;0.033761;53.358131
149;358.027797;6.248764;0.060159;53.695742
150;13.582837;0.237065;0.040049;54.297333
151;29.252610;0.510554;0.072013;54.697826
152;45.128685;0.787644;0.034299;55.417956
153;61.103018;1.066449;0.002547;55.760943
154;77.084648;1.345381;0.028637;55.786413
155;93.148319;1.625745;0.030488;56.072787
156;109.299330;1.907633;0.029440;56.377666
157;125.534682;2.190994;0.054228;56.672069
158;141.925384;2.477065;0.030055;57.214345
159;158.402188;2.764640;0.046944;57.514894
160;175.013476;3.054561;0.037972;57.984334
161;191.733546;3.346382;0.040822;58.364056
162;208.570564;3.640243;0.064589;58.772280
163;225.592617;3.937334;0.032976;59.418171
164;242.709138;4.236074;0.026790;59.747931
165;259.902407;4.536153;0.027901;60.015831
166;277.175608;4.837627;0.033910;60.294845
167;294.545954;5.140797;0.042366;60.633948
168;312.037670;5.446085;0.037968;61.057607
169;329.638157;5.753271;0.077963;61.437288
170;347.461990;6.064356;0.027986;62.216916
171;5.365997;0.093654;0.055225;62.496775
172;23.428214;0.408899;0.031589;63.049028
173;41.580924;0.725724;0.042346;63.364914
174;59.854947;1.044666;0.078848;63.788374
175;78.354853;1.367550;0.032504;64.576853
176;96.947877;1.692060;0.036256;64.901897
177;115.644766;2.018382;0.040420;65.264455
178;134.457450;2.346725;0.035823;65.668656
179;153.372761;2.676860;0.033661;66.026890
180;172.384503;3.008677;0.029025;66.363501
181;191.479397;3.341946;0.043348;66.653754
182;210.698475;3.677382;0.001708;67.087236
183;229.922446;4.012904;0.027944;67.104318
184;249.226472;4.349823;0.048384;67.383762
185;268.669107;4.689161;0.065435;67.867600
186;288.299199;5.031770;0.029507;68.521950
187;308.013824;5.375855;0.048755;68.817023
188;327.868124;5.722378;0.059964;69.304578
189;347.894207;6.071899;0.027697;69.904220
190;7.999636;0.139620;0.048677;70.181186
191;28.244515;0.492960;0.061789;70.667959
192;48.666405;0.849389;0.032221;71.285845
193;69.180603;1.207429;0.048264;71.608059
194;89.833067;1.567883;0.078680;72.090699
195;110.710932;1.932270;0.028234;72.877495
196;131.669681;2.298069;0.041466;73.159838
197;152.747223;2.665942;0.027321;73.574500
198;173.903033;3.035181;0.037462;73.847707
199;195.166163;3.406292;0.034164;74.222325
200;216.527165;3.779112;0.041991;74.563964
201;238.008463;4.154031;0.060087;74.983875
202;259.661896;4.531955;0.028001;75.584743
203;281.395548;4.911279;0.044159;75.864756
204;303.255706;5.292811;0.032062;76.306348
205;325.207716;5.675945;0.038778;76.626969
206;347.270818;6.061019;0.028260;77.014754
207;9.414878;0.164321;0.048865;77.297352
208;31.698925;0.553251;0.003949;77.785998
209;53.994284;0.942378;0.041290;77.825485
210;76.407930;1.333570;0.030580;78.238385
211;98.909182;1.726291;0.047630;78.544188
212;121.546886;2.121393;0.003538;79.020492
213;144.194725;2.516673;0.039115;79.055873
214;166.954622;2.913908;0.029178;79.447026
215;189.798108;3.312602;0.049607;79.738811
216;212.783708;3.713776;0.027839;80.234880
217;235.849061;4.116343;0.041439;80.513269
218;259.033127;4.520981;0.035309;80.927657
219;282.318347;4.927385;0.035541;81.280752
220;305.705384;5.335565;0.052736;81.636160
221;329.243498;5.746383;0.071998;82.163518
222;352.987873;6.160801;0.029985;82.883502
223;16.818148;0.293532;0.029517;83.183351
224;40.732983;0.710925;0.048345;83.478525
225;64.786318;1.130735;0.053432;83.961978
226;88.992725;1.553216;0.068205;84.496301
227;113.394526;1.979108;0.031473;85.178354
228;137.886492;2.406573;0.027727;85.493087
229;162.457890;2.835425;0.034515;85.770359
230;187.128165;3.266003;0.034425;86.115506
231;211.897059;3.698301;0.005332;86.459752
232;236.681228;4.130867;0.047692;86.513069
233;261.602025;4.565817;0.030188;86.989993
234;286.609304;5.002276;0.029711;87.291872
235;311.701698;5.440221;0.041154;87.588977
236;336.911991;5.880224;0.036704;88.000522
237;2.227433;0.038876;0.008298;88.367563
238;27.566648;0.481129;0.058293;88.450546
239;53.072861;0.926296;0.030325;89.033481
240;78.665950;1.372980;0.032170;89.336733
241;104.351200;1.821272;0.036040;89.658437
242;130.139696;2.271366;0.049747;90.018834
243;156.070707;2.723948;0.048736;90.516304
244;182.141336;3.178966;0.008068;91.003662
245;208.235078;3.634388;0.061711;91.084342
246;234.505608;4.092895;0.042141;91.701448
247;260.896863;4.553509;0.028450;92.122860
248;287.369620;5.015546;0.028124;92.407355
249;313.922946;5.478989;0.036851;92.688592
250;340.581841;5.944275;0.048500;93.057099
251;7.379678;0.128800;0.032841;93.542096
252;34.271596;0.598152;0.047059;93.870503
253;61.298328;1.069858;0.002947;94.341093
254;88.333502;1.541710;0.062515;94.370561
255;115.547768;2.016689;0.040042;94.995709
256;142.876746;2.493670;0.029657;95.396127
257;170.290684;2.972133;0.027917;95.692698
258;197.784598;3.451992;0.027734;95.971865
259;225.357965;3.933238;0.033660;96.249206
260;253.027760;4.416168;0.036304;96.585805
261;280.801556;4.900912;0.047892;96.948840
262;308.712553;5.388050;0.047034;97.427758
263;336.758291;5.877541;0.038621;97.898094
264;4.914670;0.085777;0.054526;98.284303
265;33.227253;0.579925;0.031645;98.829559
266;61.630492;1.075655;0.003794;99.146009
267;90.044600;1.571575;-0.000328;99.183947
268;118.457769;2.067478;0.063599;99.180669
269;147.053134;2.566561;0.055755;99.816655
270;175.808224;3.068432;0.041110;100.374201
271;204.681087;3.572359;0.040948;100.785304
272;233.671258;4.078333;0.033194;101.194788
273;262.756524;4.585966;0.029237;101.526729
274;291.925546;5.095062;0.030036;101.819097
275;321.180615;5.605659;0.028586;102.119454
276;350.517578;6.117686;0.027845;102.405319
277;19.934310;0.347919;0.027904;102.683766
278;49.430981;0.862733;0.028124;102.962805
279;79.008220;1.378954;0.035211;103.244042
280;108.686333;1.896934;0.032251;103.596157
281;138.456838;2.416528;0.033017;103.918667
282;168.321931;2.937772;0.029543;104.248840
283;198.271659;3.460493;0.029438;104.544271
284;228.305719;3.984686;0.029542;104.838647
285;258.424410;4.510357;0.032827;105.134067
286;288.637145;5.037669;0.035258;105.462337
287;318.950884;5.566743;0.034716;105.814914
288;349.364077;6.097553;0.028145;106.162070
289;19.857900;0.346586;0.027937;106.443523
290;50.431757;0.880200;0.027896;106.722892
291;81.085528;1.415209;0.028540;107.001848
292;111.821062;1.951646;0.030664;107.287252
293;142.644441;2.489615;0.028965;107.593892
294;173.550800;3.029033;0.032092;107.883544
295;204.549097;3.570055;0.042381;108.204469
296;235.668806;4.113197;0.040628;108.628276
297;266.904906;4.658369;0.055136;109.034557
298;298.298959;5.206299;0.062236;109.585919
299;329.871305;5.757340;0.078909;110.208280
300;1.669709;0.029142;0.003878;110.997368
301;33.479223;0.584323;0.035301;111.036152
302;65.389868;1.141268;0.055111;111.389164
303;97.458395;1.700970;0.035472;111.940277
304;129.628543;2.262445;0.049366;112.294999
305;161.940113;2.826388;0.038836;112.788658
306;194.362942;3.392273;0.036008;113.177022
307;226.888924;3.959959;0.029372;113.537098
308;259.499051;4.529113;0.028007;113.830816
309;292.189411;5.099667;0.030695;114.110884
310;324.967705;5.671756;0.037973;114.417829
311;357.854784;6.245744;0.059787;114.797562
312;30.913139;0.539536;0.002180;115.395430
313;63.977740;1.116622;0.042336;115.417228
314;97.163624;1.695825;0.034039;115.840588
315;130.447022;2.276730;0.049129;116.180978
316;163.871165;2.860091;0.037358;116.672267
317;197.402331;3.445321;0.028070;117.045850
318;231.013910;4.031953;0.028504;117.326546
319;264.707148;4.620011;0.041060;117.611587
320;298.518013;5.210122;0.064127;118.022184
321;332.512588;5.803439;0.024955;118.663452
322;6.578654;0.114819;0.041206;118.913002
323;40.762766;0.711444;0.048164;119.325064
324;75.084860;1.310478;0.034280;119.806707
325;109.505157;1.911226;0.028028;120.149505
326;144.005750;2.513374;0.041360;120.429785
327;178.624829;3.117591;0.065036;120.843384
328;213.430224;3.725060;0.034549;121.493747
329;248.334595;4.334256;0.046802;121.839238
330;283.373043;4.945793;0.037026;122.307258
331;318.517563;5.559180;0.034938;122.677519
332;353.762172;6.174315;0.033556;123.026895
333;29.102913;0.507942;0.069288;123.362455
334;64.642149;1.128218;0.051968;124.055336
335;100.330261;1.751093;0.049456;124.575013
336;136.160056;2.376441;0.031261;125.069578
337;172.079407;3.003352;0.030362;125.382187
338;208.085739;3.631781;0.060517;125.685809
339;244.265439;4.263236;0.046931;126.290979
340;280.579587;4.897038;0.048541;126.760289
341;317.032795;5.533266;0.028789;127.245700
342;353.568479;6.170934;0.032158;127.533594
343;30.196287;0.527025;0.000273;127.855170
344;66.824878;1.166314;0.037696;127.857905
345;103.561461;1.807488;0.040050;128.234865
346;140.412779;2.450665;0.027891;128.635368
347;177.343999;3.095237;0.057545;128.914276
348;214.440074;3.742685;0.049501;129.489728
349;251.677958;4.392609;0.041342;129.984738
350;289.034277;5.044600;0.035338;130.398153
351;326.491834;5.698357;0.045135;130.751537
352;4.078692;0.071187;0.043964;131.202887
353;41.791498;0.729399;0.040287;131.642525
354;79.619716;1.389626;0.028030;132.045394
355;117.528236;2.051255;0.058543;132.325695
356;155.604468;2.715810;0.053698;132.911123
357;193.834533;3.383051;0.037431;133.448105
358;232.171832;4.052163;0.030668;133.822418
359;270.596989;4.722808;0.001448;134.129101
360;309.026294;5.393526;0.048093;134.143579
361;347.593374;6.066649;0.027858;134.624506
362;26.240261;0.457979;0.042990;134.903084
363;65.010304;1.134644;0.054979;135.332982
364;103.937851;1.814058;0.036811;135.882771
365;142.970852;2.495312;0.029964;136.250879
366;182.089694;3.178065;0.008187;136.550517
367;221.231988;3.861227;0.045584;136.632383
368;260.504871;4.546668;0.027839;137.088223
369;299.857508;5.233501;0.078786;137.366617
370;339.435852;5.924273;0.048897;138.154481
371;19.154275;0.334305;0.035805;138.643453
372;58.975273;1.029313;0.068148;139.001506
373;98.991501;1.727728;0.047978;139.682985
374;139.145176;2.428541;0.035796;140.162769
375;179.401399;3.131145;0.073217;140.520724
376;219.867371;3.837410;0.049802;141.252891
377;260.476014;4.546164;0.027843;141.750906
378;301.164423;5.256311;0.002665;142.029339
379;341.860467;5.966591;0.039590;142.055993
380;22.669930;0.395665;0.029006;142.451897
381;63.562489;1.109375;0.035808;142.741959
382;104.557631;1.824875;0.035592;143.100043
383;145.654738;2.542155;0.040569;143.455964
384;186.868065;3.261463;0.037122;143.861652
385;228.187741;3.982627;0.029283;144.232876
386;269.591305;4.705256;0.077581;144.525704
387;311.217124;5.431763;0.045708;145.301518
388;352.973885;6.160556;0.029937;145.758594
389;34.816409;0.607661;0.053726;146.057964
390;76.812847;1.340637;0.029510;146.595222
391;118.893826;2.075089;0.067409;146.890327
392;161.167918;2.812911;0.046092;147.564421
393;203.574053;3.553038;0.032187;148.025336
394;246.072398;4.294774;0.048710;148.347209
395;288.710287;5.038945;0.032316;148.834310
396;331.440754;5.784732;0.003198;149.157469
397;14.180384;0.247494;0.036336;149.189453
398;57.024111;0.995258;0.055553;149.552817
399;100.026985;1.745800;0.049788;150.108348
400;143.172491;2.498831;0.030682;150.606230
401;186.405895;3.253397;0.043793;150.913049
