iteration;Couple;omega
1;-0.011851;1.000000
2;-0.000774;0.881494
3;-0.000400;0.873759
4;0.000047;0.869761
5;0.000430;0.870232
6;0.000818;0.874536
7;0.001215;0.882718
8;0.001625;0.894869
9;0.002302;0.911118
10;0.002736;0.934141
11;0.003183;0.961503
12;0.003641;0.993333
13;0.005385;1.029746
14;0.006082;1.083593
15;0.006807;1.144409
16;0.007554;1.212484
17;0.009709;1.288023
18;0.010768;1.385115
19;0.011880;1.492795
20;0.012256;1.611594
21;0.013340;1.734150
22;0.014410;1.867551
23;0.015750;2.011648
24;0.016675;2.169145
25;0.017637;2.335891
26;0.018424;2.512261
27;0.018647;2.696505
28;0.020133;2.882971
29;0.022501;3.084302
30;0.023217;3.309309
31;0.023057;3.541484
32;0.024891;3.772055
33;0.027194;4.020968
34;0.027859;4.292912
35;0.027899;4.571501
36;0.027732;4.850490
37;0.028771;5.127808
38;0.031728;5.415521
39;0.029878;5.732797
40;0.033384;6.031572
41;0.031829;6.365416
42;-0.001630;6.683702
43;0.001638;6.667407
44;0.006459;6.683791
45;0.011785;6.748383
46;0.016010;6.866235
47;0.018408;7.026333
48;0.022497;7.210415
49;0.023090;7.435384
50;0.027788;7.666286
51;0.028859;7.944162
52;0.029630;8.232747
53;0.031858;8.529046
54;0.035359;8.847624
55;0.034051;9.201217
56;0.000818;9.541722
57;0.007249;9.549905
58;0.014271;9.622399
59;0.018479;9.765109
60;0.022940;9.949900
61;0.025143;10.179300
62;0.028030;10.430728
63;0.028799;10.711031
64;0.029979;10.999017
65;0.032479;11.298810
66;-0.000268;11.623598
67;0.008690;11.620919
68;0.015841;11.707817
69;0.019674;11.866228
70;0.024712;12.062969
71;0.028912;12.310087
72;0.029325;12.599205
73;0.031306;12.892458
74;0.032699;13.205522
75;0.004060;13.532512
76;0.015029;13.573112
77;0.020102;13.723406
78;0.024896;13.924428
79;0.027712;14.173386
80;0.031663;14.450510
81;0.032638;14.767137
82;0.000691;15.093520
83;0.012010;15.100433
84;0.018525;15.220534
85;0.024837;15.405780
86;0.028507;15.654155
87;0.031384;15.939226
88;0.034081;16.253068
89;0.005585;16.593875
90;0.016661;16.649726
91;0.023211;16.816334
92;0.027880;17.048447
93;0.031934;17.327247
94;0.032512;17.646584
95;0.003020;17.971708
96;0.016256;18.001912
97;0.022794;18.164474
98;0.028870;18.392417
99;0.031365;18.681122
100;0.032554;18.994770
101;0.010598;19.320309
102;0.018673;19.426288
103;0.027121;19.613017
104;0.028674;19.884229
105;0.032578;20.170972
106;0.005120;20.496753
107;0.017719;20.547948
108;0.025174;20.725142
109;0.029570;20.976884
110;0.035345;21.272587
111;0.006155;21.626037
112;0.018547;21.687583
113;0.027082;21.873050
114;0.032005;22.143869
115;0.031219;22.463923
116;0.010970;22.776111
117;0.019980;22.885810
118;0.028870;23.085613
119;0.031471;23.374309
120;0.002138;23.689014
121;0.017659;23.710392
122;0.025300;23.886978
123;0.031987;24.139973
124;0.030901;24.459839
125;0.013281;24.768850
126;0.022996;24.901661
127;0.029630;25.131621
128;0.034476;25.427917
129;0.012519;25.772675
130;0.023293;25.897861
131;0.027537;26.130787
132;0.032316;26.406158
133;0.011329;26.729313
134;0.022861;26.842599
135;0.029583;27.071208
136;0.033224;27.367041
137;0.014882;27.699282
138;0.024884;27.848105
139;0.031794;28.096945
140;-0.000252;28.414880
141;0.017709;28.412356
142;0.028570;28.589448
143;0.035153;28.875147
144;0.007418;29.226675
145;0.022989;29.300854
146;0.028841;29.530747
147;0.030926;29.819153
148;0.016345;30.128411
149;0.028344;30.291857
150;0.031260;30.575298
151;0.009388;30.887894
152;0.022866;30.981774
153;0.031982;31.210435
154;-0.000033;31.530250
155;0.018507;31.529916
156;0.028448;31.714987
157;0.034051;31.999470
158;0.016371;32.339978
159;0.027809;32.503688
160;0.033437;32.781779
161;0.011942;33.116154
162;0.025406;33.235571
163;0.031499;33.489627
164;0.010430;33.804612
165;0.024565;33.908917
166;0.029125;34.154563
167;0.006825;34.445808
168;0.023081;34.514063
169;0.031224;34.744868
170;0.007320;35.057104
171;0.023094;35.130307
172;0.029191;35.361242
173;0.008736;35.653154
174;0.024751;35.740514
175;0.031576;35.988028
176;0.012024;36.303792
177;0.026920;36.424036
178;0.033338;36.693239
179;0.014252;37.026623
180;0.028618;37.169139
181;0.034311;37.455321
182;0.017892;37.798434
183;0.027729;37.977358
184;-0.000428;38.254649
185;0.022488;38.250372
186;0.033576;38.475252
187;0.007439;38.811007
188;0.025080;38.885394
189;0.033379;39.136196
190;0.015790;39.469990
191;0.028606;39.627889
192;-0.000365;39.913953
193;0.022577;39.910299
194;0.030151;40.136072
195;0.010367;40.437586
196;0.028204;40.541257
197;0.034261;40.823302
198;0.018641;41.165909
199;0.031940;41.352315
200;0.006374;41.671719
201;0.027302;41.735460
202;0.035107;42.008479
203;0.018620;42.359551
204;0.031989;42.545752
205;0.008982;42.865643
206;0.028383;42.955459
207;0.032746;43.239289
208;0.020502;43.566750
209;0.029179;43.771775
210;0.013851;44.063565
211;0.028949;44.202074
212;0.002696;44.491561
213;0.024954;44.518524
214;0.032455;44.768062
215;0.019466;45.092616
216;0.031494;45.287273
217;0.014378;45.602213
218;0.027770;45.745990
219;0.003368;46.023686
220;0.027790;46.057367
221;0.033084;46.335269
222;0.023272;46.666107
223;0.033363;46.898823
224;0.018400;47.232450
225;0.031729;47.416447
226;0.015315;47.733735
227;0.028838;47.886880
228;0.009400;48.175262
229;0.028871;48.269266
230;0.002934;48.557977
231;0.027441;48.587320
232;-0.001336;48.861733
233;0.023113;48.848370
234;0.034240;49.079503
235;0.023057;49.421905
236;0.033603;49.652477
237;0.019628;49.988509
238;0.031282;50.184791
239;0.018600;50.497616
240;0.030040;50.683614
241;0.017624;50.984016
242;0.031520;51.160253
243;0.017438;51.475448
244;0.030327;51.649828
245;0.016647;51.953099
246;0.033509;52.119570
247;0.016782;52.454660
248;0.030415;52.622479
249;0.016917;52.926634
250;0.031667;53.095806
251;0.017749;53.412479
252;0.029225;53.589969
253;0.018311;53.882222
254;0.031497;54.065332
255;0.019953;54.380297
256;0.033324;54.579828
257;0.022621;54.913069
258;0.035138;55.139276
259;0.023050;55.490655
260;0.030503;55.721156
261;0.027151;56.026184
262;0.002112;56.297693
263;0.027808;56.318810
264;0.007069;56.596890
265;0.028563;56.667577
266;0.014382;56.953207
267;0.030410;57.097025
268;0.018286;57.401125
269;0.035564;57.583986
270;0.023154;57.939629
271;0.030167;58.171167
272;0.027582;58.472836
273;0.003792;58.748657
274;0.027821;58.786578
275;0.013556;59.064789
276;0.031566;59.200345
277;0.019962;59.516001
278;0.032444;59.715618
279;0.025046;60.040062
280;0.002753;60.290524
281;0.027918;60.318055
282;0.014260;60.597234
283;0.030749;60.739838
284;0.020552;61.047331
285;0.030144;61.252854
286;0.028369;61.554298
287;0.010307;61.837986
288;0.031978;61.941056
289;0.018516;62.260838
290;0.034472;62.446002
291;0.027306;62.790724
292;0.007052;63.063789
293;0.033627;63.134308
294;0.018694;63.470580
295;0.031201;63.657518
296;0.028415;63.969529
297;0.012294;64.253683
298;0.029584;64.376625
299;0.022990;64.672463
300;0.000513;64.902361
301;0.027891;64.907487
302;0.016898;65.186393
303;0.035333;65.355375
304;0.026965;65.708704
305;0.009655;65.978358
306;0.031535;66.074905
307;0.023154;66.390256
308;0.000904;66.621794
309;0.029618;66.630837
310;0.018635;66.927013
311;0.030311;67.113367
312;0.028824;67.416476
313;0.016654;67.704713
314;0.032613;67.871256
315;0.028351;68.197385
316;0.013987;68.480891
317;0.033271;68.620762
318;0.027454;68.953477
319;0.012392;69.228015
320;0.032927;69.351939
321;0.027015;69.681212
322;0.012090;69.951359
323;0.032975;70.072254
324;0.027397;70.402008
325;0.013171;70.675978
326;0.033416;70.807692
327;0.028422;71.141856
328;0.015648;71.426074
329;0.032463;71.582557
330;0.028870;71.907186
331;0.017885;72.195884
332;0.030275;72.374734
333;0.029637;72.677484
334;0.020434;72.973856
335;0.002463;73.178200
336;0.031707;73.202834
337;0.024647;73.519905
338;0.011342;73.766374
339;0.036200;73.879792
340;0.028074;74.241788
341;0.018239;74.522532
342;0.000265;74.704923
343;0.031989;74.707575
344;0.023009;75.027467
345;0.011950;75.257561
346;0.032690;75.377065
347;0.028815;75.703967
348;0.018679;75.992113
349;0.001932;76.178903
350;0.031132;76.198224
351;0.027078;76.509544
352;0.016155;76.780323
353;-0.001136;76.941872
354;0.031970;76.930512
355;0.023097;77.250213
356;0.013535;77.481186
357;0.031393;77.616536
358;0.029627;77.930469
359;0.022904;78.226740
360;0.011605;78.455783
361;0.034304;78.571828
362;0.028850;78.914865
363;0.022957;79.203362
364;0.013555;79.432931
365;0.030512;79.568479
366;0.033548;79.873595
367;0.024965;80.209071
368;0.016329;80.458725
369;0.000725;80.622016
370;0.029102;80.629264
371;0.028586;80.920283
372;0.019976;81.206143
373;0.006648;81.405899
374;0.035333;81.472377
375;0.028830;81.825710
376;0.023115;82.114015
377;0.016600;82.345162
378;0.000545;82.511164
379;0.031419;82.516619
380;0.027714;82.830808
381;0.023238;83.107949
382;0.014066;83.340326
383;-0.000982;83.480983
384;0.031856;83.471160
385;0.027981;83.789715
386;0.023073;84.069528
387;0.014194;84.300256
388;-0.000557;84.442201
389;0.031519;84.436636
390;0.027436;84.751822
391;0.022989;85.026184
392;0.017101;85.256071
393;0.002593;85.427079
394;0.035333;85.453005
395;0.028695;85.806330
396;0.027878;86.093275
397;0.020178;86.372058
398;0.011762;86.573837
399;0.000016;86.691454
400;0.029196;86.691610
401;0.028552;86.983574
402;0.025255;87.269097
403;0.018577;87.521645
404;0.012020;87.707414
405;-0.000649;87.827610
406;0.035469;87.821125
407;0.028830;88.175816
408;0.028153;88.464112
409;0.022635;88.745645
410;0.015421;88.971991
411;0.003959;89.126205
412;0.031394;89.165793
413;0.030907;89.479729
414;0.027769;89.788797
415;0.027120;90.066485
416;0.020465;90.337680
417;0.015518;90.542326
418;0.006301;90.697511
419;0.030761;90.760517
420;0.035120;91.068131
421;0.028624;91.419336
422;0.028634;91.705578
423;0.024546;91.991917
424;0.019533;92.237375
425;0.015697;92.432702
426;0.006287;92.589667
427;-0.000500;92.652535
428;0.032689;92.647534
429;0.031609;92.974421
430;0.027602;93.290514
431;0.028450;93.566530
432;0.023084;93.851034
433;0.019574;94.081878
434;0.016648;94.277616
435;0.010377;94.444099
436;0.002473;94.547871
437;0.030437;94.572598
438;0.035846;94.876970
439;0.029886;95.235433
440;0.029601;95.534292
441;0.027966;95.830305
442;0.027490;96.109966
443;0.023010;96.384864
444;0.019767;96.614965
445;0.017860;96.812630
446;0.013837;96.991232
447;0.010190;97.129603
448;0.002443;97.231504
449;-0.000565;97.255937
450;0.031801;97.250292
451;0.035667;97.568305
452;0.029129;97.924978
453;0.033646;98.216265
454;0.028826;98.552728
455;0.028684;98.840993
456;0.027865;99.127835
457;0.027222;99.406483
458;0.023104;99.678699
459;0.023369;99.909740
460;0.020497;100.143428
461;0.018539;100.348395
462;0.017923;100.533787
463;0.016335;100.713021
464;0.014995;100.876370
465;0.011845;101.026322
466;0.010795;101.144775
467;0.006336;101.252724
468;0.003777;101.316086
469;0.001506;101.353860
470;0.000447;101.368922
471;-0.001776;101.373390
472;0.033015;101.355626
473;0.031837;101.685775
474;0.035296;102.004143
475;0.033600;102.357102
476;0.035649;102.693102
477;0.032902;103.049589
478;0.031382;103.378604
479;0.029616;103.692419
480;0.031650;103.988577
481;0.029858;104.305081
482;0.031751;104.603664
483;0.029825;104.921178
484;0.031636;105.219423
485;0.029558;105.535779
486;0.031306;105.831362
487;0.033003;106.144425
488;0.035782;106.474458
489;0.032667;106.832281
490;0.035258;107.158952
491;0.031612;107.511535
492;0.032466;107.827654
493;-0.001364;108.152310
494;0.000873;108.138675
495;0.002000;108.147405
496;0.005641;108.167405
497;0.007078;108.223817
498;0.011777;108.294596
499;0.012780;108.412364
500;0.015823;108.540168
501;0.017206;108.698397
502;0.018568;108.870456
503;0.019586;109.056135
504;0.022873;109.251999
505;0.022983;109.480729
506;0.025003;109.710557
507;0.028150;109.960585
508;0.028075;110.242090
509;0.028825;110.522843
510;0.028733;110.811095
511;0.031799;111.098425
512;0.029359;111.416410
513;0.035341;111.709996
514;0.030959;112.063406
515;0.001423;112.372995
516;0.006171;112.387223
517;0.012834;112.448935
518;0.016869;112.577273
519;0.018711;112.745968
520;0.023344;112.933082
521;0.025185;113.166526
522;0.028669;113.418375
523;0.027557;113.705064
524;0.033500;113.980635
525;0.033014;114.315632
526;0.033768;114.645771
527;0.000611;114.983454
528;0.009882;114.989565
529;0.015441;115.088385
530;0.018706;115.242799
531;0.022952;115.429855
532;0.027804;115.659375
533;0.028794;115.937411
534;0.030325;116.225353
535;0.036048;116.528601
536;-0.001651;116.889085
537;0.006428;116.872576
538;0.014635;116.936854
539;0.019922;117.083205
540;0.023105;117.282426
541;0.027855;117.513476
542;0.029378;117.792021
543;0.029252;118.085799
544;0.033379;118.378319
545;0.005233;118.712106
546;0.015832;118.764431
547;0.019838;118.922751
548;0.026702;119.121133
549;0.028847;119.388155
550;0.029328;119.676622
551;0.034093;119.969899
552;0.003145;120.310830
553;0.015808;120.342282
554;0.022503;120.500363
555;0.027627;120.725395
556;0.029572;121.001660
557;0.033089;121.297379
558;0.000109;121.628271
559;0.011179;121.629356
560;0.018687;121.741150
561;0.025372;121.928025
562;0.027565;122.181748
563;0.031242;122.457395
564;-0.000869;122.769818
565;0.012435;122.761128
566;0.019624;122.885482
567;0.027456;123.081723
568;0.029376;123.356281
569;0.032677;123.650041
570;0.003254;123.976811
571;0.016642;124.009354
572;0.023034;124.175776
573;0.028447;124.406117
574;0.029581;124.690589
575;0.000238;124.986397
576;0.013495;124.988779
577;0.023048;125.123731
578;0.028872;125.354210
579;0.030052;125.642928
580;-0.000385;125.943449
581;0.013307;125.939603
582;0.023160;126.072671
583;0.028707;126.304271
584;0.029513;126.591337
585;0.001222;126.886464
586;0.015996;126.898683
587;0.023117;127.058642
588;0.029624;127.289809
589;0.032650;127.586045
590;0.007111;127.912548
591;0.018574;127.983660
592;0.027869;128.169398
593;0.031054;128.448086
594;-0.000408;128.758624
595;0.016494;128.754544
596;0.024869;128.919485
597;0.028640;129.168174
598;0.033380;129.454570
599;0.012198;129.788367
600;0.022883;129.910347
601;0.028503;130.139180
602;0.032406;130.424212
603;0.012069;130.748267
604;0.023320;130.868955
605;0.027552;131.102151
606;0.034977;131.377668
607;0.011603;131.727433
608;0.022993;131.843468
609;0.029508;132.073394
610;0.030170;132.368475
611;0.015695;132.670178
612;0.025343;132.827124
613;0.030064;133.080559
614;0.001598;133.381199
615;0.018426;133.397177
616;0.028066;133.581441
617;0.035973;133.862106
618;0.010348;134.221834
619;0.022964;134.325310
620;0.033533;134.554951
621;-0.000870;134.890279
622;0.017949;134.881581
623;0.028660;135.061075
624;0.033602;135.347678
625;0.012020;135.683696
626;0.024677;135.803895
627;0.030037;136.050663
628;0.003273;136.351030
629;0.019927;136.383755
630;0.028844;136.583028
631;-0.001112;136.871467
632;0.017725;136.860344
633;0.027955;137.037590
634;0.035157;137.317140
635;0.014953;137.668713
636;0.027808;137.818241
637;0.035771;138.096319
638;0.011967;138.454034
639;0.026769;138.573705
640;0.031285;138.841394
641;0.011109;139.154242
642;0.025083;139.265334
643;0.031460;139.516169
644;0.010905;139.830766
645;0.025162;139.939821
646;0.031281;140.191445
647;0.011428;140.504257
648;0.027152;140.618534
649;0.035813;140.890058
650;0.013861;141.248187
651;0.027868;141.386800
652;0.035084;141.665479
653;0.017262;142.016323
654;0.027440;142.188940
655;-0.000886;142.463336
656;0.019580;142.454480
657;0.028612;142.650277
658;0.003565;142.936397
659;0.023013;142.972043
660;0.029781;143.202170
661;0.012509;143.499977
662;0.028377;143.625066
663;0.031787;143.908834
664;0.018495;144.226700
665;0.029612;144.411649
666;0.002243;144.707766
667;0.023062;144.730195
668;0.031336;144.960814
669;0.014437;145.274174
670;0.027884;145.418549
671;-0.000525;145.697386
672;0.022721;145.692135
673;0.029542;145.919343
674;0.012401;146.214766
675;0.028648;146.338777
676;0.030415;146.625255
677;0.020566;146.929409
678;0.031171;147.135064
679;0.012589;147.446775
680;0.027939;147.572670
681;0.000263;147.852063
682;0.022790;147.854690
683;0.032899;148.082585
684;0.017142;148.411577
685;0.029637;148.582993
686;0.005215;148.879364
687;0.027197;148.931517
688;0.033536;149.203488
689;0.019920;149.538848
690;0.029952;149.738048
691;0.015993;150.037565
692;0.028510;150.197497
693;0.005819;150.482597
694;0.027839;150.540783
695;-0.001143;150.819173
696;0.022770;150.807739
697;0.033431;151.035437
698;0.018573;151.369747
699;0.031920;151.555479
700;0.013670;151.874676
701;0.027609;152.011380
702;0.007153;152.287470
703;0.028621;152.358999
